Date,Value,Anomaly
200703,53.7,9.1
200704,53.9,-2.6
200705,70.9,4.5
200706,76.4,0.7
200707,78.4,-1.4
200708,84.5,6.5
200709,74.1,3.9
200710,63.1,4.0
200711,46.5,1.3
200712,35.5,0.9
200801,33.0,2.5
200802,32.4,-2.9
200803,44.0,-0.6
200804,54.3,-2.2
200805,63.2,-3.2
200806,76.9,1.2
200807,79.3,-0.5
200808,76.7,-1.3
200809,70.3,0.1
200810,58.3,-0.8
200811,44.8,-0.4
200812,32.5,-2.1
200901,28.9,-1.6
200902,39.0,3.7
200903,49.3,4.7
200904,56.0,-0.5
200905,67.0,0.6
200906,77.7,2.0
200907,75.6,-4.2
200908,76.4,-1.6
200909,69.8,-0.4
200910,53.7,-5.4
200911,51.9,6.7
200912,33.8,-0.8
201001,27.2,-3.3
201002,30.6,-4.7
201003,48.9,4.3
201004,64.0,7.5
201005,68.1,1.7
201006,80.6,4.9
201007,82.5,2.7
201008,82.3,4.3
201009,71.3,1.1
201010,61.9,2.8
201011,48.8,3.6
201012,30.3,-4.3
201101,27.8,-2.7
201102,36.7,1.4
201103,47.3,2.7
201104,60.5,4.0
201105,66.4,0.0
201106,78.5,2.8
201107,85.8,6.0
201108,81.6,3.6
201109,67.7,-2.5
201110,60.5,1.4
201111,50.9,5.7
201112,40.8,6.2
201201,38.1,7.6
201202,41.4,6.1
201203,61.1,16.5
201204,60.2,3.7
201205,73.2,6.8
201206,78.3,2.6
201207,88.1,8.3
201208,79.7,1.7
201209,69.4,-0.8
201210,56.9,-2.2
201211,46.1,0.9
201212,41.8,7.2
201301,35.7,5.2
201302,35.7,0.4
201303,-99,-99
201304,55.5,-1.0
201305,67.2,0.8
201306,76.0,0.3
201307,77.9,-1.9
201308,78.7,0.7
201309,73.9,3.7
201310,59.2,0.1
201311,43.4,-1.8
201312,33.0,-1.6
201401,27.2,-3.3
201402,27.1,-8.2
201403,42.0,-2.6
201404,58.1,1.6
201405,69.0,2.6
201406,77.6,1.9
201407,76.0,-3.8
201408,79.9,1.9
201409,69.6,-0.6
201410,59.1,0.0
201411,40.3,-4.9
201412,38.4,3.8
201501,32.8,2.3
201502,26.4,-8.9
201503,46.0,1.4
201504,59.8,3.3
201505,69.1,2.7
201506,77.2,1.5
201507,80.1,0.3
201508,77.3,-0.7
201509,74.6,4.4
201510,60.6,1.5
201511,51.2,6.0
201512,45.0,10.4
201601,33.5,3.0
201602,39.8,4.5
201603,52.6,8.0
201604,59.4,2.9
201605,66.0,-0.4
201606,80.8,5.1
201607,81.1,1.3
201608,80.3,2.3
201609,74.9,4.7
201610,65.1,6.0
201611,51.8,6.6
201612,34.3,-0.3
201701,37.5,7.0
201702,47.2,11.9
201703,49.5,4.9
201704,61.8,5.3
201705,68.2,1.8
201706,77.9,2.2
201707,83.8,4.0
201708,75.6,-2.4
201709,73.1,2.9
201710,61.9,2.8
201711,48.5,3.3
201712,35.3,0.7
201801,30.1,-0.4
201802,38.4,3.1
201803,43.5,-1.1
201804,50.2,-6.3
201805,75.8,9.4
201806,80.7,5.0
201807,80.6,0.8
201808,80.0,2.0
201809,75.1,4.9
201810,59.9,0.8
201811,39.2,-6.0
201812,39.4,4.8
201901,31.2,0.7
201902,35.2,-0.1
201903,43.0,-1.6
201904,58.8,2.3
201905,68.2,1.8
201906,75.6,-0.1
201907,81.7,1.9
201908,78.6,0.6
201909,78.2,8.0
201910,57.7,-1.4
201911,42.1,-3.1
201912,40.2,5.6
202001,36.1,5.6
202002,37.6,2.3
202003,51.0,6.4
202004,55.1,-1.4
202005,65.1,-1.3
202006,79.0,3.3
202007,82.5,2.7
202008,77.9,-0.1
202009,71.2,1.0
202010,56.8,-2.3
202011,51.5,6.3
202012,38.2,3.6
202101,35.0,4.5
202102,26.5,-8.8
202103,52.1,7.5
202104,57.1,0.6
202105,65.3,-1.1
202106,78.9,3.2
202107,79.6,-0.2
202108,81.1,3.1
202109,74.9,4.7
202110,63.9,4.8
202111,46.7,1.5
202112,47.0,12.4
202201,29.5,-1.0
202202,34.6,-0.7
202203,49.2,4.6
202204,56.5,0.0
202205,69.2,2.8
202206,79.3,3.6
202207,82.9,3.1
202208,79.7,1.7
202209,71.4,1.2
202210,58.7,-0.4
202211,47.3,2.1
202212,35.9,1.3
